source,target,score,lag,edge_type
agg_tm_reducer_outlet_temp,MC1_TM206_HDZC_2_WD_AI,0.06808792054653168,0,directed
agg_tm_reducer_outlet_temp,MC1_TM206_ZDJ_DZ_B_WD_AI,0.03774549812078476,0,directed
agg_tm_reducer_outlet_temp,agg_tm_reducer_oil_temp,0.21104004979133606,0,directed
agg_tm_reducer_outlet_temp,agg_tm_overflow_pump_current,0.050009213387966156,0,directed
fx_nt1_motor_current,fx_s1_tk1_steam_fb,0.024524126201868057,0,directed
fx_s1_cx1_froth_h,fx_s1_cx1_air_flow,0.061481960117816925,0,directed
fx_s1_cx1_froth_h,fx_s1_cx2_level,0.04221877083182335,0,directed
fx_s1_cx1_froth_h,fx_s1_cx2_air_flow,0.03065611608326435,0,directed
fx_s1_cx1_froth_h,fx_s1_cx3_level,0.06916946917772293,0,directed
fx_s1_cx1_froth_h,fx_s1_cx3_air_flow,0.02486548386514187,0,directed
fx_s1_cx1_froth_h,fx_s1_sx1_level,0.022770309820771217,0,directed
fx_s1_cx1_froth_h,fx_s1_sx1_air_flow,0.040199682116508484,0,directed
fx_s1_cx1_froth_h,fx_s1_sx2_froth_h,0.13074147701263428,0,directed
fx_s1_cx1_froth_h,fx_s1_sx2_air_flow,0.021572625264525414,0,directed
fx_s1_cx1_froth_h,fx_s1_sx3_level,0.049686968326568604,0,directed
fx_s1_cx1_froth_h,fx_s1_jx_level,0.027552010491490364,0,directed
fx_s1_cx1_froth_h,fx_s1_ph,0.028346652165055275,0,directed
fx_s1_cx1_froth_h,fx_s1_tk2_temp,0.05839366465806961,0,directed
fx_s1_cx1_froth_h,fx_s1_tk2_steam_sp,0.03623638674616814,0,directed
fx_s1_cx1_froth_h,fx_s1_tk2_steam_fb,0.06008787453174591,0,directed
fx_s1_cx1_froth_h,fx_s1_tk3_temp,0.0566195547580719,0,directed
fx_s1_cx1_froth_h,fx_s1_tk3_steam_sp,0.10373537242412567,0,directed
fx_s1_cx1_froth_h,fx_s1_tk3_steam_fb,0.061513449996709824,0,directed
fx_s1_cx1_froth_h,fx_blower1_pressure,0.021007215604186058,0,directed
fx_s1_cx1_froth_h,fx_s1_ft1701,0.02983136661350727,0,directed
fx_s1_cx1_froth_h,y_fx_xin1,0.041222453117370605,0,directed
fx_s1_cx1_level,fx_nt1_motor_current,0.17090627551078796,0,directed
fx_s1_cx1_level,fx_s1_cx1_air_flow,0.036534860730171204,0,directed
fx_s1_cx1_level,fx_s1_cx2_level,0.5308752655982971,0,directed
fx_s1_cx1_level,fx_s1_cx3_level,0.09644467383623123,0,directed
fx_s1_cx1_level,fx_s1_sx1_froth_h,0.054198771715164185,0,directed
fx_s1_cx1_level,fx_s1_sx3_level,0.02388092875480652,0,directed
fx_s1_cx1_level,fx_s1_jx_level,0.38986217975616455,0,directed
fx_s1_cx1_level,fx_s1_ft1701,0.20187890529632568,0,directed
fx_s1_cx1_level,fx_s1_ft1702,0.24637481570243835,0,directed
fx_s1_cx2_froth_h,fx_s1_cx2_level,0.06640113145112991,0,directed
fx_s1_cx2_froth_h,fx_s1_cx3_level,0.026982495561242104,0,directed
fx_s1_cx2_froth_h,fx_s1_cx3_air_flow,0.02063985913991928,0,directed
fx_s1_cx2_froth_h,fx_s1_sx1_level,0.06213763356208801,0,directed
fx_s1_cx2_froth_h,fx_s1_sx2_froth_h,0.12767693400382996,0,directed
fx_s1_cx2_froth_h,fx_s1_sx2_level,0.03692913055419922,0,directed
fx_s1_cx2_froth_h,fx_s1_sx2_air_flow,0.027702556923031807,0,directed
fx_s1_cx2_froth_h,fx_s1_sx3_level,0.05830725282430649,0,directed
fx_s1_cx2_froth_h,fx_s1_jx_air_flow,0.025038275867700577,0,directed
fx_s1_cx2_froth_h,fx_s1_tk1_steam_sp,0.053451057523489,0,directed
fx_s1_cx2_froth_h,fx_s1_tk1_steam_fb,0.08661139756441116,0,directed
fx_s1_cx2_froth_h,fx_s1_tk2_temp,0.027230408042669296,0,directed
fx_s1_cx2_froth_h,fx_s1_tk2_steam_fb,0.04982743412256241,0,directed
fx_s1_cx2_froth_h,fx_s1_tk3_temp,0.04786581173539162,0,directed
fx_s1_cx2_froth_h,fx_s1_tk3_steam_sp,0.05291677638888359,0,directed
fx_s1_cx2_froth_h,fx_s1_tk3_steam_fb,0.07120966911315918,0,directed
fx_s1_cx2_level,fx_s1_cx3_level,0.627972424030304,0,directed
fx_s1_cx2_level,fx_s1_jx_level,1.1725983619689941,0,directed
fx_s1_cx2_level,fx_s1_td_rough_freq,0.02500912919640541,0,directed
fx_s1_cx2_level,fx_s1_ft1701,0.21627405285835266,0,directed
fx_s1_cx2_level,fx_s1_ft1702,0.13470755517482758,0,directed
fx_s1_cx2_air_flow,fx_s1_cx3_level,0.028612589463591576,0,directed
fx_s1_cx3_froth_h,fx_s1_cx2_level,0.09154466539621353,0,directed
fx_s1_cx3_froth_h,fx_s1_cx3_level,0.08915755152702332,0,directed
fx_s1_cx3_froth_h,fx_s1_cx3_air_flow,0.023614995181560516,0,directed
fx_s1_cx3_froth_h,fx_s1_sx1_air_flow,0.032509248703718185,0,directed
fx_s1_cx3_froth_h,fx_s1_sx2_level,0.08195580542087555,0,directed
fx_s1_cx3_froth_h,fx_s1_jx_air_flow,0.0446498841047287,0,directed
fx_s1_cx3_froth_h,fx_s1_tk1_temp,0.03805709630250931,0,directed
fx_s1_cx3_froth_h,fx_s1_tk2_temp,0.04704615846276283,0,directed
fx_s1_cx3_froth_h,fx_s1_tk2_steam_sp,0.06944549828767776,0,directed
fx_s1_cx3_froth_h,fx_s1_tk2_steam_fb,0.09841148555278778,0,directed
fx_s1_cx3_froth_h,fx_s1_tk3_temp,0.0274914912879467,0,directed
fx_s1_cx3_froth_h,fx_s1_tk3_steam_sp,0.10279815644025803,0,directed
fx_s1_cx3_froth_h,fx_s1_tk3_steam_fb,0.05684254318475723,0,directed
fx_s1_cx3_froth_h,fx_blower1_pressure,0.0561157763004303,0,directed
fx_s1_sx1_froth_h,fx_s1_cx1_air_flow,0.04089000076055527,0,directed
fx_s1_sx1_froth_h,fx_s1_cx3_level,0.03247098997235298,0,directed
fx_s1_sx1_froth_h,fx_s1_sx2_level,0.10045713931322098,0,directed
fx_s1_sx1_froth_h,fx_s1_tk1_temp,0.04057455062866211,0,directed
fx_s1_sx1_froth_h,fx_s1_tk1_steam_sp,0.040338803082704544,0,directed
fx_s1_sx1_froth_h,fx_s1_tk1_steam_fb,0.06286074966192245,0,directed
fx_s1_sx1_froth_h,fx_s1_tk2_temp,0.059196583926677704,0,directed
fx_s1_sx1_froth_h,fx_s1_tk2_steam_sp,0.06505190581083298,0,directed
fx_s1_sx1_froth_h,fx_s1_tk2_steam_fb,0.044480111449956894,0,directed
fx_s1_sx1_froth_h,fx_s1_tk3_temp,0.04323727637529373,0,directed
fx_s1_sx1_froth_h,fx_s1_tk3_steam_sp,0.115255206823349,0,directed
fx_s1_sx1_froth_h,fx_s1_tk3_steam_fb,0.11193042993545532,0,directed
fx_s1_sx1_level,fx_s1_sx2_level,0.7986400127410889,0,directed
fx_s1_sx1_level,fx_s1_tk1_temp,0.02079492248594761,0,directed
fx_s1_sx1_air_flow,fx_s1_sx1_froth_h,0.13329090178012848,0,directed
fx_s1_sx1_air_flow,fx_s1_sx3_froth_h,0.027503885328769684,0,directed
fx_s1_sx1_air_flow,fx_s1_tk2_steam_sp,0.020898083224892616,0,directed
fx_s1_sx1_air_flow,fx_s1_tk2_steam_fb,0.037366993725299835,0,directed
fx_s1_sx1_air_flow,fx_s1_ft1702,0.02023579552769661,0,directed
fx_s1_sx2_froth_h,fx_s1_cx1_air_flow,0.030046910047531128,0,directed
fx_s1_sx2_froth_h,fx_s1_cx2_air_flow,0.03850681334733963,0,directed
fx_s1_sx2_froth_h,fx_s1_cx3_air_flow,0.04699702560901642,0,directed
fx_s1_sx2_froth_h,fx_s1_sx3_level,0.02681094966828823,0,directed
fx_s1_sx2_froth_h,fx_s1_jx_air_flow,0.04536880925297737,0,directed
fx_s1_sx2_froth_h,fx_s1_tk1_temp,0.04515121504664421,0,directed
fx_s1_sx2_froth_h,fx_s1_tk1_steam_sp,0.0363583043217659,0,directed
fx_s1_sx2_froth_h,fx_s1_tk1_steam_fb,0.0842762440443039,0,directed
fx_s1_sx2_froth_h,fx_s1_tk2_temp,0.041285861283540726,0,directed
fx_s1_sx2_froth_h,fx_s1_tk2_steam_sp,0.0806315615773201,0,directed
fx_s1_sx2_froth_h,fx_s1_tk2_steam_fb,0.08411142975091934,0,directed
fx_s1_sx2_froth_h,fx_s1_tk3_temp,0.04307316616177559,0,directed
fx_s1_sx2_froth_h,fx_s1_tk3_steam_sp,0.04042879864573479,0,directed
fx_s1_sx2_froth_h,fx_s1_tk3_steam_fb,0.03994583338499069,0,directed
fx_s1_sx2_level,fx_s1_sx3_level,0.7623763084411621,0,directed
fx_s1_sx2_air_flow,fx_s1_sx2_froth_h,0.10213731229305267,0,directed
fx_s1_sx3_froth_h,fx_s1_cx3_air_flow,0.03197641670703888,0,directed
fx_s1_sx3_froth_h,fx_s1_sx2_air_flow,0.0557202585041523,0,directed
fx_s1_sx3_froth_h,fx_s1_jx_air_flow,0.0300581194460392,0,directed
fx_s1_sx3_froth_h,fx_s1_tk1_steam_sp,0.053833968937397,0,directed
fx_s1_sx3_froth_h,fx_s1_tk1_steam_fb,0.0791122317314148,0,directed
fx_s1_sx3_froth_h,fx_s1_tk2_temp,0.03896515443921089,0,directed
fx_s1_sx3_froth_h,fx_s1_tk2_steam_sp,0.11291322112083435,0,directed
fx_s1_sx3_froth_h,fx_s1_tk2_steam_fb,0.05716291815042496,0,directed
fx_s1_sx3_froth_h,fx_s1_tk3_temp,0.09096203744411469,0,directed
fx_s1_sx3_froth_h,fx_s1_tk3_steam_sp,0.1172100231051445,0,directed
fx_s1_sx3_froth_h,fx_s1_k6_level,0.03367748484015465,0,directed
fx_s1_sx3_froth_h,y_fx_xin1,0.03240138292312622,0,directed
fx_s1_sx3_air_flow,fx_s1_sx2_froth_h,0.04619445279240608,0,directed
fx_s1_sx3_air_flow,fx_s1_sx3_froth_h,0.12853674590587616,0,directed
fx_s1_jx_froth_h,fx_s1_cx2_level,0.06676555424928665,0,directed
fx_s1_jx_froth_h,fx_s1_cx3_level,0.04311637207865715,0,directed
fx_s1_jx_froth_h,fx_s1_cx3_air_flow,0.0341755673289299,0,directed
fx_s1_jx_froth_h,fx_s1_sx1_level,0.0488286130130291,0,directed
fx_s1_jx_froth_h,fx_s1_sx2_level,0.06383489072322845,0,directed
fx_s1_jx_froth_h,fx_s1_sx3_level,0.09386757016181946,0,directed
fx_s1_jx_froth_h,fx_s1_jx_air_flow,0.04182137921452522,0,directed
fx_s1_jx_froth_h,fx_s1_td_rough_freq,0.044136542826890945,0,directed
fx_s1_jx_froth_h,fx_s1_ph,0.02266162820160389,0,directed
fx_s1_jx_froth_h,fx_s1_tk2_temp,0.06910613924264908,0,directed
fx_s1_jx_froth_h,fx_s1_tk2_steam_fb,0.09992309659719467,0,directed
fx_s1_jx_froth_h,fx_s1_tk3_temp,0.02919161692261696,0,directed
fx_s1_jx_froth_h,fx_s1_tk3_steam_sp,0.061909329146146774,0,directed
fx_s1_jx_froth_h,fx_s1_tk3_steam_fb,0.08627746254205704,0,directed
fx_s1_jx_froth_h,fx_blower1_pressure,0.027409138157963753,0,directed
fx_s1_jx_froth_h,y_fx_xin1,0.027141470462083817,0,directed
fx_s1_jx_level,fx_s1_sx1_level,0.7079840898513794,0,directed
fx_s1_jx_level,fx_s1_tk1_steam_fb,0.02160598710179329,0,directed
fx_s1_jx_air_flow,fx_s1_sx1_froth_h,0.04471445083618164,0,directed
fx_s1_td_rough_freq,fx_s1_sx1_froth_h,0.13834679126739502,0,directed
fx_s1_td_rough_freq,fx_s1_sx2_froth_h,0.18279047310352325,0,directed
fx_s1_td_rough_freq,fx_s1_sx3_froth_h,0.13072434067726135,0,directed
fx_s1_ph,fx_s1_sx1_froth_h,0.04243212938308716,0,directed
fx_s1_ph,fx_s1_sx2_froth_h,0.05438105762004852,0,directed
fx_s1_ph,fx_s1_sx3_froth_h,0.023335473611950874,0,directed
fx_s1_tk1_temp,fx_s1_tk1_steam_sp,0.5933815240859985,0,directed
fx_s1_tk1_temp,fx_s1_tk1_steam_fb,0.5087466835975647,0,directed
fx_s1_tk1_steam_sp,fx_s1_tk1_steam_fb,0.15959154069423676,0,directed
fx_s1_tk2_temp,fx_s1_tk2_steam_sp,0.4814779758453369,0,directed
fx_s1_tk2_temp,fx_s1_tk2_steam_fb,0.46673014760017395,0,directed
fx_s1_tk2_steam_sp,fx_s1_tk2_steam_fb,0.16567379236221313,0,directed
fx_s1_tk3_temp,fx_s1_tk3_steam_sp,0.47802844643592834,0,directed
fx_s1_tk3_temp,fx_s1_tk3_steam_fb,0.4914146661758423,0,directed
fx_s1_tk3_steam_sp,fx_s1_tk3_steam_fb,0.17044635117053986,0,directed
fx_s1_pool1_level,fx_nt1_motor_current,0.026398949325084686,0,directed
fx_s1_pool1_level,fx_s1_cx1_level,0.8572919368743896,0,directed
fx_s1_pool1_level,fx_s1_cx1_air_flow,0.02123427949845791,0,directed
fx_s1_pool1_level,fx_s1_sx1_froth_h,0.021621443331241608,0,directed
fx_s1_pool1_level,fx_s1_pool2_pump_curr,0.06854645907878876,0,directed
fx_s1_pool1_level,fx_s1_pool3_level,0.023949678987264633,0,directed
fx_s1_pool1_level,fx_s1_pool3_pump_curr,0.031506169587373734,0,directed
fx_s1_pool1_level,fx_s1_ft1702,0.029357459396123886,0,directed
fx_s1_pool1_pump_freq,fx_s1_tk2_steam_fb,0.029592245817184448,0,directed
fx_s1_pool1_pump_freq,fx_s1_pool1_level,0.06979120522737503,0,directed
fx_s1_pool1_pump_freq,fx_s1_pool2_pump_curr,0.08759002387523651,0,directed
fx_s1_pool1_pump_freq,fx_s1_pool3_pump_curr,0.023983122780919075,0,directed
fx_s1_pool1_pump_freq,fx_ah5_power,0.03888006508350372,0,directed
fx_s1_pool1_pump_curr,fx_s1_pool1_level,0.09449443221092224,0,directed
fx_s1_pool1_pump_curr,fx_s1_pool1_pump_freq,0.07859504967927933,0,directed
fx_s1_pool1_pump_curr,fx_s1_pool2_pump_curr,0.08635960519313812,0,directed
fx_s1_pool1_pump_curr,fx_s1_pool3_pump_curr,0.02643284760415554,0,directed
fx_s1_pool1_pump_curr,fx_ah5_power,0.08084975183010101,0,directed
fx_s1_pool2_pump_freq,fx_s1_pool1_level,0.04041818901896477,0,directed
fx_s1_pool2_pump_freq,fx_s1_pool1_pump_freq,0.028900086879730225,0,directed
fx_s1_pool2_pump_freq,fx_s1_pool2_pump_curr,0.13873769342899323,0,directed
fx_s1_pool2_pump_freq,fx_s1_pool3_pump_curr,0.061370477080345154,0,directed
fx_s1_pool3_level,fx_nt1_motor_current,0.04652170464396477,0,directed
fx_s1_pool3_level,fx_s1_cx1_level,0.853618860244751,0,directed
fx_s1_pool3_level,fx_s1_cx2_air_flow,0.025278527289628983,0,directed
fx_s1_pool3_level,fx_s1_pool2_pump_curr,0.06845774501562119,0,directed
fx_s1_pool3_level,fx_s1_ft1702,0.04664401337504387,0,directed
fx_s1_pool3_pump_freq,fx_s1_pool1_pump_curr,0.05489398539066315,0,directed
fx_s1_pool3_pump_freq,fx_s1_pool2_pump_freq,0.04126093536615372,0,directed
fx_s1_pool3_pump_freq,fx_s1_pool2_pump_curr,0.0862419381737709,0,directed
fx_s1_pool3_pump_freq,fx_s1_pool3_level,0.13285918533802032,0,directed
fx_s1_pool3_pump_freq,fx_s1_pool3_pump_curr,0.021022357046604156,0,directed
fx_s1_pool3_pump_curr,fx_s1_pool2_pump_curr,0.08802199363708496,0,directed
fx_s1_pool3_pump_curr,fx_s1_pool3_level,0.03216976672410965,0,directed
fx_blower1_pressure,fx_s1_sx3_froth_h,0.030205991119146347,0,directed
fx_ah5_power,fx_s1_pool2_pump_curr,0.07765723764896393,0,directed
fx_ah5_power,fx_s1_pool3_pump_curr,0.025346502661705017,0,directed
fx_s1_ft1701,fx_nt1_motor_current,0.2141074538230896,0,directed
fx_s1_ft1701,fx_s1_cx1_air_flow,0.028051478788256645,0,directed
fx_s1_ft1701,fx_s1_sx1_froth_h,0.05227389559149742,0,directed
fx_s1_ft1701,fx_s1_td_rough_freq,0.02035030536353588,0,directed
fx_s1_ft1701,fx_s1_tk3_steam_fb,0.023167483508586884,0,directed
fx_s1_ft1701,fx_s1_ft1702,0.07532847672700882,0,directed
fx_s1_ft1702,fx_nt1_motor_current,0.23075047135353088,0,directed
fx_s1_ft1702,fx_s1_cx3_level,0.024935372173786163,0,directed
fx_s1_ft1702,fx_s1_sx1_froth_h,0.05491939187049866,0,directed
